Year,Country,Exports,Export_Percentage_Global,Export_Rank,Imports,Import_Percentage_Global,Import_Rank,Total_Trade,Total_Trade_Percentage_Global,Trade_Rank,Trade_Deficit
2023,China,3379255,14.19,1,2556565,10.55,2,5935820,12.35,1,-822690
2023,United States of America,2020606,8.49,2,3172476,13.09,1,5193082,10.81,2,1151870
2023,Germany,1718251,7.22,3,1476656,6.09,3,3194907,6.65,3,-241595
2023,Netherlands,936392,3.93,4,842331,3.47,4,1778723,3.7,4,-94061
2023,Japan,717261,3.01,5,785796,3.24,7,1503057,3.13,5,68535
2023,France,648569,2.72,7,786158,3.24,6,1434727,2.99,6,137589
2023,Italy,676993,2.84,6,639755,2.64,11,1316748,2.74,7,-37238
2023,United Kingdom,521040,2.19,13,791523,3.27,5,1312563,2.73,8,270483
2023,"Korea, Republic of",632226,2.66,8,642572,2.65,10,1274798,2.65,9,10346
2023,"Hong Kong, China",573871,2.41,10,653696,2.7,9,1227567,2.55,10,79825
2023,Mexico,593005,2.49,9,621476,2.56,12,1214481,2.53,11,28471
2023,Canada,568939,2.39,11,570484,2.35,13,1139423,2.37,12,1545
2023,Belgium,564770,2.37,12,548051,2.26,14,1112821,2.32,13,-16719
2023,India,431574,1.81,17,672231,2.77,8,1103805,2.3,14,240657
2023,United Arab Emirates,485706,2.04,14,468302,1.93,16,954008,1.99,15,-17404
2023,Singapore,476252,2.0,15,423448,1.75,17,899700,1.87,16,-52804
2023,Spain,423228,1.78,19,470329,1.94,15,893557,1.86,17,47101
2023,Chinese Taipei,432337,1.82,16,358960,1.48,21,791297,1.65,18,-73377
2023,Switzerland,420170,1.76,20,364098,1.5,19,784268,1.63,19,-56072
2023,Poland,381517,1.6,21,370076,1.53,18,751593,1.56,20,-11441
2023,Russian Federation,424222,1.78,18,303297,1.25,23,727519,1.51,21,-120925
2023,Viet Nam,353782,1.49,23,325776,1.34,22,679558,1.41,22,-28006
2023,Australia,371278,1.56,22,287406,1.19,25,658684,1.37,23,-83872
2023,Türkiye,255438,1.07,30,361765,1.49,20,617203,1.28,24,106327
2023,Brazil,339696,1.43,24,252710,1.04,27,592406,1.23,25,-86986
2023,Malaysia,312830,1.31,26,265750,1.1,26,578580,1.2,26,-47080
2023,Thailand,284562,1.2,27,289754,1.2,24,574316,1.2,27,5192
2023,"Saudi Arabia, Kingdom of",320018,1.34,25,206940,0.85,31,526958,1.1,28,-113078
2023,Czech Republic,255854,1.07,29,231315,0.95,28,487169,1.01,29,-24539
2023,Indonesia,258857,1.09,28,221886,0.92,30,480743,1.0,30,-36971
2023,Austria,223855,0.94,31,225026,0.93,29,448881,0.93,31,1171
2023,Sweden,197900,0.83,33,192724,0.79,32,390624,0.81,32,-5176
2023,Ireland,208984,0.88,32,150554,0.62,34,359538,0.75,33,-58430
2023,Hungary,160720,0.68,35,155879,0.64,33,316599,0.66,34,-4841
2023,Norway,174090,0.73,34,95470,0.39,41,269560,0.56,35,-78620
2023,Denmark,136383,0.57,36,126009,0.52,38,262392,0.55,36,-10374
2023,South Africa,110855,0.47,38,130747,0.54,37,241602,0.5,37,19892
2023,Romania,100611,0.42,39,131913,0.54,36,232524,0.48,38,31302
2023,Slovak Republic,117293,0.49,37,113599,0.47,39,230892,0.48,39,-3694
2023,Philippines,73527,0.31,48,133806,0.55,35,207333,0.43,40,60279
2023,Portugal,83857,0.35,45,113440,0.47,40,197297,0.41,41,29583
2023,Chile,94557,0.4,43,85308,0.35,44,179865,0.37,42,-9249
2023,Finland,82515,0.35,46,82961,0.34,46,165476,0.34,43,446
2023,Iraq,99149,0.42,40,65826,0.27,52,164975,0.34,44,-33323
2023,Iran,97357,0.41,41,66058,0.27,51,163415,0.34,45,-31299
2023,Israel,66893,0.28,50,91284,0.38,42,158177,0.33,46,24391
2023,Slovenia,73200,0.31,49,71563,0.3,48,144763,0.3,47,-1637
2023,Greece,55072,0.23,57,89470,0.37,43,144542,0.3,48,34398
2023,Argentina,66789,0.28,51,73714,0.3,47,140503,0.29,49,6925
2023,Kazakhstan,78533,0.33,47,60655,0.25,55,139188,0.29,50,-17878
2023,Qatar,96991,0.41,42,31187,0.13,70,128178,0.27,51,-65804
2023,Egypt,42081,0.18,61,83189,0.34,45,125270,0.26,52,41108
2023,Bangladesh,55788,0.23,55,66863,0.28,50,122651,0.26,53,11075
2023,"Kuwait, the State of",83981,0.35,44,37490,0.15,66,121471,0.25,54,-46491
2023,Peru,63074,0.26,52,52329,0.22,57,115403,0.24,55,-10745
2023,Colombia,49545,0.21,58,62797,0.26,54,112342,0.23,56,13252
2023,Morocco,41642,0.17,62,68632,0.28,49,110274,0.23,57,26990
2023,Nigeria,55182,0.23,56,49428,0.2,60,104610,0.22,58,-5754
2023,Bulgaria,47755,0.2,59,53529,0.22,56,101284,0.21,59,5774
2023,Algeria,56069,0.24,54,43729,0.18,62,99798,0.21,60,-12340
2023,Ukraine,36040,0.15,66,63527,0.26,53,99567,0.21,61,27487
2023,Oman,62736,0.26,53,36382,0.15,67,99118,0.21,62,-26354
2023,New Zealand,41399,0.17,63,49957,0.21,59,91356,0.19,63,8558
2023,Lithuania,42639,0.18,60,48436,0.2,61,91075,0.19,64,5797
2023,Belarus,40168,0.17,64,43256,0.18,64,83424,0.17,65,3088
2023,Pakistan,28478,0.12,70,50324,0.21,58,78802,0.16,66,21846
2023,Serbia,30935,0.13,69,39838,0.16,65,70773,0.15,67,8903
2023,Croatia,24937,0.1,72,43265,0.18,63,68202,0.14,68,18328
2023,Ecuador,31127,0.13,68,30902,0.13,71,62029,0.13,69,-225
2023,Uzbekistan,19229,0.08,79,35575,0.15,68,54804,0.11,70,16346
2023,Angola,38089,0.16,65,16271,0.07,90,54360,0.11,71,-21818
2023,Azerbaijan,33899,0.14,67,17285,0.07,87,51184,0.11,72,-16614
2023,Panama,16738,0.07,82,34285,0.14,69,51023,0.11,73,17547
2023,Latvia,22667,0.1,75,27325,0.11,74,49992,0.1,74,4658
2023,Cambodia,23470,0.1,74,24386,0.1,78,47856,0.1,75,916
2023,Tunisia,19985,0.08,77,25485,0.11,77,45470,0.09,76,5500
2023,Guatemala,14199,0.06,88,30318,0.13,72,44517,0.09,77,16119
2023,Costa Rica,19025,0.08,80,24039,0.1,79,43064,0.09,78,5014
2023,Luxembourg,17162,0.07,81,25581,0.11,76,42743,0.09,79,8419
2023,Estonia,19674,0.08,78,22892,0.09,80,42566,0.09,80,3218
2023,Dominican Republic,12932,0.05,90,28823,0.12,73,41755,0.09,81,15891
2023,"Bahrain, Kingdom of",24814,0.1,73,15367,0.06,94,40181,0.08,82,-9447
2023,Côte d'Ivoire,20263,0.09,76,18887,0.08,81,39150,0.08,83,-1376
2023,Jordan,12590,0.05,92,25717,0.11,75,38307,0.08,84,13127
2023,Libya,25033,0.11,71,11799,0.05,105,36832,0.08,85,-13234
2023,Myanmar,14753,0.06,86,16441,0.07,89,31194,0.06,86,1688
2023,Ghana,16658,0.07,83,14010,0.06,96,30668,0.06,87,-2648
2023,Honduras,11383,0.05,95,17423,0.07,86,28806,0.06,88,6040
2023,Sri Lanka,11911,0.05,93,16811,0.07,88,28722,0.06,89,4900
2023,Democratic Republic of the Congo,16400,0.07,84,11600,0.05,106,28000,0.06,90,-4800
2023,Paraguay,11891,0.05,94,16105,0.07,91,27996,0.06,91,4214
2023,Kenya,7191,0.03,113,18585,0.08,82,25776,0.05,92,11394
2023,Bosnia and Herzegovina,9232,0.04,100,15355,0.06,95,24587,0.05,93,6123
2023,Mongolia,15187,0.06,85,9250,0.04,115,24437,0.05,94,-5937
2023,"Bolivia, Plurinational State of",10911,0.05,97,11496,0.05,107,22407,0.05,95,585
2023,Lebanese Republic,4139,0.02,130,18125,0.07,83,22264,0.05,96,13986
2023,El Salvador,6498,0.03,116,15648,0.06,92,22146,0.05,97,9150
2023,Uruguay,9205,0.04,101,12486,0.05,99,21691,0.05,98,3281
2023,Georgia,6091,0.03,118,15514,0.06,93,21605,0.04,99,9423
2023,Ethiopia,3616,0.02,135,17888,0.07,84,21504,0.04,100,14272
2023,North Macedonia,8999,0.04,103,12056,0.05,103,21055,0.04,101,3057
2023,Tanzania,7275,0.03,111,13729,0.06,98,21004,0.04,102,6454
2023,Armenia,8415,0.04,104,12308,0.05,101,20723,0.04,103,3893
2023,Zambia,10431,0.04,98,10125,0.04,111,20556,0.04,104,-306
2023,Guyana,13210,0.06,89,6636,0.03,127,19846,0.04,105,-6574
2023,"Macao, China",1654,0.01,147,17542,0.07,85,19196,0.04,106,15888
2023,Cyprus,4995,0.02,124,13886,0.06,97,18881,0.04,107,8891
2023,Brunei Darussalam,11241,0.05,96,7484,0.03,124,18725,0.04,108,-3757
2023,"Venezuela, Bolivarian Republic of",7780,0.03,108,10945,0.05,109,18725,0.04,108,3165
2023,Mozambique,8276,0.03,106,10092,0.04,112,18368,0.04,110,1816
2023,Uganda,6162,0.03,117,12166,0.05,102,18328,0.04,111,6004
2023,Nicaragua,7378,0.03,110,10916,0.05,110,18294,0.04,112,3538
2023,Turkmenistan,14246,0.06,87,4022,0.02,146,18268,0.04,113,-10224
2023,Papua New Guinea,12664,0.05,91,5465,0.02,136,18129,0.04,114,-7199
2023,Trinidad and Tobago,9046,0.04,102,8161,0.03,120,17207,0.04,115,-885
2023,Zimbabwe,7225,0.03,112,9214,0.04,116,16439,0.03,116,1989
2023,Senegal,5313,0.02,123,11064,0.05,108,16377,0.03,117,5751
2023,Iceland,6609,0.03,115,9464,0.04,114,16073,0.03,118,2855
2023,Lao People's Democratic Republic,8370,0.04,105,7649,0.03,123,16019,0.03,119,-721
2023,Kyrgyz Republic,3309,0.01,137,12352,0.05,100,15661,0.03,120,9043
2023,Guinea,9432,0.04,99,4682,0.02,142,14114,0.03,121,-4750
2023,Gabon,7700,0.03,109,6100,0.03,131,13800,0.03,122,-1600
2023,Nepal,1145,0.0,150,12017,0.05,104,13162,0.03,123,10872
2023,Congo,8250,0.03,107,4870,0.02,140,13120,0.03,124,-3380
2023,Albania,4374,0.02,129,8694,0.04,117,13068,0.03,125,4320
2023,Cameroon,4927,0.02,125,8116,0.03,121,13043,0.03,126,3189
2023,Namibia,5488,0.02,122,7239,0.03,126,12727,0.03,127,1751
2023,"Moldova, Republic of",4049,0.02,131,8674,0.04,118,12723,0.03,128,4625
2023,Syrian Arab Republic,6734,0.03,114,5962,0.02,133,12696,0.03,129,-772
2023,Sudan,4920,0.02,126,7380,0.03,125,12300,0.03,130,2460
2023,Botswana,5762,0.02,120,6501,0.03,128,12263,0.03,131,739
2023,Mali,5678,0.02,121,6490,0.03,129,12168,0.03,132,812
2023,Cuba,1939,0.01,146,9959,0.04,113,11898,0.02,133,8020
2023,Malta,3467,0.01,136,8402,0.03,119,11869,0.02,134,4935
2023,Burkina Faso,4467,0.02,128,5896,0.02,134,10363,0.02,135,1429
2023,Jamaica,2107,0.01,144,7858,0.03,122,9965,0.02,136,5751
2023,Mauritania,3992,0.02,132,5221,0.02,137,9213,0.02,137,1229
2023,Benin,3834,0.02,133,5219,0.02,138,9053,0.02,138,1385
2023,Equatorial Guinea,5800,0.02,119,2800,0.01,156,8600,0.02,139,-3000
2023,Mauritius,2295,0.01,142,6273,0.03,130,8568,0.02,140,3978
2023,Djibouti,4527,0.02,127,3907,0.02,147,8434,0.02,141,-620
2023,Tajikistan,2449,0.01,140,5880,0.02,135,8329,0.02,142,3431
2023,Madagascar,3213,0.01,138,4750,0.02,141,7963,0.02,143,1537
2023,Afghanistan,881,0.0,156,6010,0.02,132,6891,0.01,144,5129
2023,Rwanda,2466,0.01,139,3857,0.02,148,6323,0.01,145,1391
2023,Chad,3800,0.02,134,2200,0.01,159,6000,0.01,146,-1600
2023,New Caledonia,2131,0.01,143,3196,0.01,153,5327,0.01,147,1065
2023,Yemen,251,0.0,176,5051,0.02,139,5302,0.01,148,4800
2023,Somalia,752,0.0,160,4181,0.02,144,4933,0.01,149,3429
2023,Bahamas,708,0.0,162,4188,0.02,143,4896,0.01,150,3480
2023,Montenegro,729,0.0,161,4122,0.02,145,4851,0.01,151,3393
2023,Togo,1456,0.01,148,3322,0.01,152,4778,0.01,152,1866
2023,Niger,986,0.0,153,3403,0.01,150,4389,0.01,153,2417
2023,Haiti,898,0.0,155,3363,0.01,151,4261,0.01,154,2465
2023,Fiji,1068,0.0,152,3100,0.01,155,4168,0.01,155,2032
2023,Malawi,966,0.0,154,3141,0.01,154,4107,0.01,156,2175
2023,Suriname,2311,0.01,141,1697,0.01,168,4008,0.01,157,-614
2023,Maldives,421,0.0,170,3497,0.01,149,3918,0.01,158,3076
2023,Eswatini,2029,0.01,145,1865,0.01,164,3894,0.01,159,-164
2023,Sierra Leone,1328,0.01,149,1922,0.01,162,3250,0.01,160,594
2023,Liberia,1123,0.0,151,1913,0.01,163,3036,0.01,161,790
2023,"Korea, Democratic People's Republic of",262,0.0,174,2718,0.01,157,2980,0.01,162,2456
2023,Barbados,461,0.0,168,2109,0.01,160,2570,0.01,163,1648
2023,Lesotho,825,0.0,159,1724,0.01,167,2549,0.01,164,899
2023,French Polynesia,244,0.0,177,2303,0.01,158,2547,0.01,165,2059
2023,Curaçao,560,0.0,164,1830,0.01,166,2390,0.0,166,1270
2023,Andorra,252,0.0,175,1995,0.01,161,2247,0.0,167,1743
2023,South Sudan,833,0.0,158,1184,0.0,175,2017,0.0,168,351
2023,Seychelles,541,0.0,165,1451,0.01,169,1992,0.0,169,910
2023,Bhutan,641,0.0,163,1313,0.01,172,1954,0.0,170,672
2023,Cayman Islands,45,0.0,189,1832,0.01,165,1877,0.0,171,1787
2023,Belize,488,0.0,166,1341,0.01,171,1829,0.0,172,853
2023,Greenland,873,0.0,157,905,0.0,180,1778,0.0,173,32
2023,The Gambia,287,0.0,173,1227,0.01,174,1514,0.0,174,940
2023,"Aruba, Netherlands with respect to",147,0.0,181,1365,0.01,170,1512,0.0,175,1218
2023,Sint Maarten,231,0.0,179,1158,0.0,177,1389,0.0,176,927
2023,Burundi,204,0.0,180,1151,0.0,178,1355,0.0,177,947
2023,Guam,14,0.0,201,1295,0.01,173,1309,0.0,178,1281
2023,Solomon Islands,427,0.0,169,863,0.0,183,1290,0.0,179,436
2023,Bermuda,45,0.0,189,1171,0.0,176,1216,0.0,180,1126
2023,Timor-Leste,294,0.0,172,904,0.0,181,1198,0.0,181,610
2023,Cabo Verde,55,0.0,187,988,0.0,179,1043,0.0,182,933
2023,American Samoa,389,0.0,171,633,0.0,185,1022,0.0,183,244
2023,Saint Lucia,80,0.0,184,896,0.0,182,976,0.0,184,816
2023,Eritrea,481,0.0,167,488,0.0,189,969,0.0,185,7
2023,Antigua and Barbuda,30,0.0,195,844,0.0,184,874,0.0,186,814
2023,Guinea-Bissau,235,0.0,178,469,0.0,191,704,0.0,187,234
2023,Grenada,46,0.0,188,609,0.0,186,655,0.0,188,563
2023,Central African Republic,144,0.0,182,496,0.0,188,640,0.0,189,352
2023,Northern Mariana Islands,4,0.0,205,556,0.0,187,560,0.0,190,552
2023,Vanuatu,60,0.0,185,473,0.0,190,533,0.0,191,413
2023,Samoa,42,0.0,192,468,0.0,192,510,0.0,192,426
2023,Saint Vincent and the Grenadines,41,0.0,193,456,0.0,193,497,0.0,193,415
2023,Turks and Caicos Islands,4,0.0,205,440,0.0,194,444,0.0,194,436
2023,"Micronesia, Federated States of",106,0.0,183,301,0.0,199,407,0.0,195,195
2023,Comoros,31,0.0,194,358,0.0,195,389,0.0,196,327
2023,Saint Kitts and Nevis,25,0.0,196,333,0.0,196,358,0.0,197,308
2023,Kiribati,19,0.0,198,308,0.0,197,327,0.0,198,289
2023,Dominica,16,0.0,199,302,0.0,198,318,0.0,199,286
2023,Anguilla,15,0.0,200,285,0.0,200,300,0.0,200,270
2023,Tonga,10,0.0,202,272,0.0,201,282,0.0,201,262
2023,Palau,2,0.0,207,242,0.0,202,244,0.0,202,240
2023,Sao Tomé and Principe,24,0.0,197,184,0.0,203,208,0.0,203,160
2023,Cook Islands,7,0.0,203,173,0.0,204,180,0.0,204,166
2023,Marshall Islands,60,0.0,185,104,0.0,207,164,0.0,205,44
2023,Nauru,43,0.0,191,75,0.0,209,118,0.0,206,32
2023,"Bonaire, Sint Eustatius and Saba",1,0.0,209,112,0.0,205,113,0.0,207,111
2023,Saint Pierre and Miquelon,2,0.0,207,110,0.0,206,112,0.0,208,108
2023,Wallis and Futuna Islands,0,0.0,211,79,0.0,208,79,0.0,209,79
2023,Montserrat,6,0.0,204,47,0.0,210,53,0.0,210,41
2023,Tuvalu,0,0.0,211,43,0.0,211,43,0.0,211,43
2023,Niue,1,0.0,209,7,0.0,212,8,0.0,212,6
2023,Tokelau,0,0.0,211,0,0.0,213,0,0.0,213,0